CNES,Nome Unidade,Nome OSS,Detalhes,year
2746220.0,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha,Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2018
2746220.0,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2018
2079119.0,Centro de Referência da Saúde da Mulher de Ribeirão Preto - Mater,Fundação de Apoio ao Ensino Pesquisa e Assistência HCFMRPUSP - FAEPA,Visualizar,2018
3001466.0,Centro Hospitalar do Sistema Penitenciário,Fundação do ABC,Visualizar,2018
3001466.0,Centro Hospitalar do Sistema Penitenciário,Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2018
2081695.0,Conjunto Hospitalar de Sorocaba,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2018
2755130.0,"Hospital Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente",Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2018
2080680.0,Hospital das Clínicas Luzia de Pinho Melo,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2018
2088576.0,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2018
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2018
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2018
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,Visualizar,2018
3028399.0,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2018
3028399.0,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Fundação do ABC,Visualizar,2018
3028399.0,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,Visualizar,2018
2091585.0,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba",Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2018
6164366.0,Hospital Estadual Américo Brasiliense,Fundação de Apoio ao Ensino Pesquisa e Assistência HCFMRPUSP - FAEPA,Visualizar,2018
2790602.0,Hospital Estadual de Bauru,Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,Visualizar,2018
2084163.0,Hospital Estadual de Diadema,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2018
5887623.0,Hospital Estadual de Ribeirão Preto,Fundação de Apoio ao Ensino Pesquisa e Assistência HCFMRPUSP - FAEPA,Visualizar,2018
,Hospital Estadual de Serrana,Fundação de Apoio ao Ensino Pesquisa e Assistência HCFMRPUSP - FAEPA,Visualizar,2018
2077671.0,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio,Instituto de Responsabilidade Social Sírio Libanês,Visualizar,2018
6236596.0,Hospital Estadual João Paulo II,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2018
2058332.0,Hospital Estadual Manoel de Abreu - Bauru,Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,Visualizar,2018
2080273.0,Hospital Estadual Mário Covas de Santo André,Fundação do ABC,Visualizar,2018
2792168.0,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba",Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2018
2792168.0,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba",Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,Visualizar,2018
2080338.0,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""",Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2018
2080338.0,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2018
2792176.0,Hospital Geral de Itapecerica da Serra,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2018
